orden,division,grupo,clase,subclase,producto,descripcion,ponderacion,etiqueta,nivel
1,99,,,,,GENERAL,,IPC general,division
2,1,,,,,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,0.258495,Alim. y beb. s/alcohol,division
3,1,011,,,,Alimentos,0.22701,Alimentos,grupo
4,1,011,0111,,,Cereales y productos a base de cereales,0.049449,Cereales y productos a base de cereales,clase
5,1,011,0111,01111,,Cereales,0.0025,Cereales,subclase
6,1,011,0111,01111,01111201,Arroz,0.0025,Arroz,producto
7,1,011,0111,01112,,Harinas,0.00212,Harinas,subclase
8,1,011,0111,01112,01112101,Harina de trigo,0.001679,Harina de trigo,producto
9,1,011,0111,01112,01112601,Harina de maíz,0.000441,Harina de maíz,producto
10,1,011,0111,01113,,Panes y productos de panadería,0.034502,Panes y productos de panadería,subclase
11,1,011,0111,01113,01113101,Pan Flauta,0.00745,Pan Flauta,producto
12,1,011,0111,01113,01113102,Pan Catalán,0.000587,Pan Catalán,producto
13,1,011,0111,01113,01113103,Pan Porteño,0.002284,Pan Porteño,producto
14,1,011,0111,01113,01113104,Galleta de campaña,0.003201,Galleta de campaña,producto
15,1,011,0111,01113,01113105,Pan blanco envasado en rebanadas,0.001561,Pan blanco envasado en rebanadas,producto
16,1,011,0111,01113,01113106,Pan integral envasado en rebanadas,0.00032,Pan integral envasado en rebanadas,producto
17,1,011,0111,01113,01113107,Panes blandos envasados,0.000539,Panes blandos envasados,producto
18,1,011,0111,01113,01113108,Bizcochos,0.005089,Bizcochos,producto
19,1,011,0111,01113,01113109,Galletas saladas,0.001581,Galletas saladas,producto
20,1,011,0111,01113,01113110,Galletas malteadas,0.001593,Galletas malteadas,producto
21,1,011,0111,01113,01113111,Galletas  integrales,0.000873,Galletas  integrales,producto
22,1,011,0111,01113,01113901,Masitas,0.000778,Masitas,producto
23,1,011,0111,01113,01113902,Torta dulce entera,0.001311,Torta dulce entera,producto
24,1,011,0111,01113,01113903,Sandwiches por ciento,0.000646,Sandwiches por ciento,producto
25,1,011,0111,01113,01113904,Galletitas dulces,0.003194,Galletitas dulces,producto
26,1,011,0111,01113,01113905,Alfajores,0.001729,Alfajores,producto
27,1,011,0111,01113,01113906,Pan rallado,0.000853,Pan rallado,producto
28,1,011,0111,01113,01113907,Budines,0.000913,Budines,producto
29,1,011,0111,01114,,Cereales para el desayuno,0.001312,Cereales para el desayuno,subclase
30,1,011,0111,01114,01114001,Cereales,0.001312,Cereales,producto
31,1,011,0111,01115,,Fideos y pastas,0.00767,Fideos y pastas,subclase
32,1,011,0111,01115,01115001,Fideos secos,0.003966,Fideos secos,producto
33,1,011,0111,01115,01115002,Pastas frescas sin relleno,0.000955,Pastas frescas sin relleno,producto
34,1,011,0111,01115,01115003,Pastas frescas con relleno,0.002749,Pastas frescas con relleno,producto
35,1,011,0111,01119,,Otros  cereales y harinas,0.001345,Otros  cereales y harinas,subclase
36,1,011,0111,01119,01119001,Tapas de empanadas,0.001345,Tapas de empanadas,producto
37,1,011,0112,,,Carne y otros productos derivados,0.080159,Carne y otros productos derivados,clase
38,1,011,0112,01122,,"Carne fresca, refrigerada o congelada",0.054984,"Carne fresca, refrigerada o congelada",subclase
39,1,011,0112,01122,01122101,Nalga,0.005198,Nalga,producto
40,1,011,0112,01122,01122102,Vacío,0.001621,Vacío,producto
41,1,011,0112,01122,01122103,Bola de lomo,0.001627,Bola de lomo,producto
42,1,011,0112,01122,01122104,Cuadril,0.002544,Cuadril,producto
43,1,011,0112,01122,01122105,Carne picada,0.012621,Carne picada,producto
44,1,011,0112,01122,01122106,Asado de tira,0.00787,Asado de tira,producto
45,1,011,0112,01122,01122107,Aguja,0.002139,Aguja,producto
46,1,011,0112,01122,01122108,Falda,0.001081,Falda,producto
47,1,011,0112,01122,01122109,Paleta,0.001255,Paleta,producto
48,1,011,0112,01122,01122110,Costillas,0.001553,Costillas,producto
49,1,011,0112,01122,01122111,Peceto,0.00088,Peceto,producto
50,1,011,0112,01122,01122112,Lomo,0.000302,Lomo,producto
51,1,011,0112,01122,01122113,Osobuco,0.000371,Osobuco,producto
52,1,011,0112,01122,01122201,Costillas de cerdo,0.000867,Costillas de cerdo,producto
53,1,011,0112,01122,01122202,Carré y pulpa de cerdo,0.002088,Carré y pulpa de cerdo,producto
54,1,011,0112,01122,01122301,Carne ovina,0.001998,Carne ovina,producto
55,1,011,0112,01122,01122401,Pollo entero,0.004505,Pollo entero,producto
56,1,011,0112,01122,01122402,"Pollo, cortes con hueso",0.0033,"Pollo, cortes con hueso",producto
57,1,011,0112,01122,01122403,"Pollo, cortes sin hueso",0.003164,"Pollo, cortes sin hueso",producto
58,1,011,0112,01123,,Fiambres,0.008608,Fiambres,subclase
59,1,011,0112,01123,01123201,Jamón,0.004415,Jamón,producto
60,1,011,0112,01123,01123202,Paleta,0.000517,Paleta,producto
61,1,011,0112,01123,01123203,Bondiola,0.001179,Bondiola,producto
62,1,011,0112,01123,01123204,Mortadela,0.000692,Mortadela,producto
63,1,011,0112,01123,01123205,Panceta,0.00074,Panceta,producto
64,1,011,0112,01123,01123206,Salame,0.001065,Salame,producto
65,1,011,0112,01124,,Menudencias y achuras de vaca,0.000694,Menudencias y achuras de vaca,subclase
66,1,011,0112,01124,01124001,"Menudencias, achuras de vaca",0.000694,"Menudencias, achuras de vaca",producto
67,1,011,0112,01125,,Embutidos y otras preparaciones de carne,0.015873,Embutidos y otras preparaciones de carne,subclase
68,1,011,0112,01125,01125101,Frankfurters,0.002821,Frankfurters,producto
69,1,011,0112,01125,01125102,Chorizos,0.004348,Chorizos,producto
70,1,011,0112,01125,01125901,"Milanesa de carne, preparada para cocinar",0.003684,"Milanesa de carne, preparada para cocinar",producto
71,1,011,0112,01125,01125902,Hamburguesa de carne preparada para cocinar,0.002016,Hambu. de carne prep. para cocinar,producto
72,1,011,0112,01125,01125903,"Milanesa de pollo, preparada para cocinar",0.003004,"Milanesa de pollo, preparada para cocinar",producto
73,1,011,0113,,,Pescados y otros mariscos,0.004271,Pescados y otros mariscos,clase
74,1,011,0113,01131,,"Pescado fresco, refrigerado o congelado",0.002959,"Pescado fresco, refrigerado o congelado",subclase
75,1,011,0113,01131,01131401,Pescado fresco no fileteado,0.000528,Pescado fresco no fileteado,producto
76,1,011,0113,01131,01131402,Bifes de pescado,0.001834,Bifes de pescado,producto
77,1,011,0113,01131,01131403,Pescado congelado,0.000597,Pescado congelado,producto
78,1,011,0113,01133,,Preparaciones de pescado,0.001312,Preparaciones de pescado,subclase
79,1,011,0113,01133,01133101,Pescado enlatado,0.001312,Pescado enlatado,producto
80,1,011,0114,,,"Leche, otros productos lácteos y huevos",0.032577,"Leche, otros productos lácteos y huevos",clase
81,1,011,0114,01141,,Leche entera,0.008149,Leche entera,subclase
82,1,011,0114,01141,01141101,"Leche común entera, envasada",0.0073,"Leche común entera, envasada",producto
